Lemma;Wordlist;Rank;SFI;U;D;F;Rank;Coverage;Cumulative
optician;3 - NAWL;0;36.66700517263100000000;0.46419506311497300000;0.9718;132;19,390;0.0000;0.98389548961420400000
reinterpretation;3 - NAWL;0;36.66591203563090000000;0.46407823801949200000;0.7583;163;18,105;0.0000;0.98322334450022400000
chock;3 - NAWL;0;36.66587732853470000000;0.46407452930470100000;0.8988;141;18,962;0.0000;0.98368886606320000000
procreation;3 - NAWL;0;36.66532709884540000000;0.46401573707506500000;0.9879;130;19,486;0.0000;0.98394111601220100000
infrastructural;3 - NAWL;0;36.66527811996520000000;0.46401050402606500000;0.8350;151;18,543;0.0000;0.98346775126996400000
kilowatt;3 - NAWL;0;36.66449703308550000000;0.46392705835918400000;0.9159;139;19,054;0.0000;0.98373546463532900000
republish;3 - NAWL;0;36.66341086169060000000;0.46381104461434700000;0.9876;130;19,486;0.0000;0.98394159113489700000
domiciliary;3 - NAWL;0;36.66254550799000000000;0.46371863712665500000;0.9068;140;19,005;0.0000;0.98371249793515200000
lamentable;3 - NAWL;0;36.66210420654300000000;0.46367151948704500000;0.9451;135;19,255;0.0000;0.98383424995345200000
jubilation;3 - NAWL;0;36.66066469255060000000;0.46351785623280400000;0.9869;130;19,486;0.0000;0.98394206625759300000
laze;3 - NAWL;0;36.66057277437250000000;0.46350804600776400000;0.9140;139;19,054;0.0000;0.98373597265113500000
idolatry;3 - NAWL;0;36.65959198331350000000;0.46340338126134200000;0.9126;139;19,054;0.0000;0.98373648066694100000
kestrel;3 - NAWL;0;36.65894567192210000000;0.46333442330495900000;0.7470;165;18,032;0.0000;0.98317788622256300000
dowel;3 - NAWL;0;36.65817435967520000000;0.46325214185844300000;0.8846;143;18,878;0.0000;0.98365096954599300000
chipper;3 - NAWL;0;36.65782717162120000000;0.46321510957098600000;0.8428;149;18,638;0.0000;0.98352146571816500000
tabulation;3 - NAWL;0;36.65559277120590000000;0.46297685146007800000;0.8982;141;18,962;0.0000;0.98368938138858700000
incantation;3 - NAWL;0;36.65524263736730000000;0.46293952717099500000;0.9348;136;19,200;0.0000;0.98380745303338600000
bedfellow;3 - NAWL;0;36.65429283501340000000;0.46283829333241200000;0.9684;132;19,390;0.0000;0.98389597204648000000
secretory;3 - NAWL;0;36.65396426010100000000;0.46280327762180200000;0.3474;295;14,458;0.0000;0.98025111213980800000
reductionist;3 - NAWL;0;36.65188233679800000000;0.46258147189808000000;0.8608;146;18,759;0.0000;0.98358288080883600000
macular;3 - NAWL;0;36.64994042072660000000;0.46237467820645300000;0.8739;144;18,836;0.0000;0.98362528368207700000
irksome;3 - NAWL;0;36.64954150139630000000;0.46233220892958400000;0.8946;141;18,962;0.0000;0.98368989671397200000
smelt;3 - NAWL;0;36.64900962843270000000;0.46227559136813900000;0.6343;188;17,230;0.0000;0.98265418771281000000
ratepayer;3 - NAWL;0;36.64821118798310000000;0.46219061087232200000;0.8000;156;18,349;0.0000;0.98336687906676300000
knockoff;3 - NAWL;0;36.64756087053120000000;0.46212140711079100000;0.9663;132;19,390;0.0000;0.98389645447875700000
criminalize;3 - NAWL;0;36.64712463274260000000;0.46207499051915000000;0.8829;143;18,878;0.0000;0.98365149218095900000
cockney;3 - NAWL;0;36.64605389595550000000;0.46196108170250700000;0.9658;132;19,390;0.0000;0.98389693691103300000
bioterrorism;3 - NAWL;0;36.64604852891900000000;0.46196051080866800000;0.7822;158;18,275;0.0000;0.98331763808148100000
molasses;3 - NAWL;0;36.64581647011720000000;0.46193582729482400000;0.8728;144;18,836;0.0000;0.98362580997183300000
conversant;3 - NAWL;0;36.64516956094060000000;0.46186702414790800000;0.9578;133;19,356;0.0000;0.98387896996353500000
divan;3 - NAWL;0;36.64506494500560000000;0.46185589850145300000;0.8655;145;18,800;0.0000;0.98360416265083600000
coaxial;3 - NAWL;0;36.64448454803790000000;0.46179417958421700000;0.8182;152;18,503;0.0000;0.98344616608039600000
confetti;3 - NAWL;0;36.64217895517900000000;0.46154908625713900000;0.9086;139;19,054;0.0000;0.98373698868274700000
recitative;3 - NAWL;0;36.64162812034600000000;0.46149054966454200000;0.7988;155;18,396;0.0000;0.98338957896727400000
postdoctoral;3 - NAWL;0;36.64099662615720000000;0.46142345062792700000;0.9409;135;19,255;0.0000;0.98383474335009800000
installer;3 - NAWL;0;36.64005549529400000000;0.46132346943564900000;0.9816;130;19,486;0.0000;0.98394254138029000000
actualize;3 - NAWL;0;36.63946508458260000000;0.46126075811510000000;0.7933;156;18,349;0.0000;0.98336744921399900000
infirmity;3 - NAWL;0;36.63820517028740000000;0.46112696301571900000;0.8372;149;18,638;0.0000;0.98352201028187100000
temerity;3 - NAWL;0;36.63819017664590000000;0.46112537101749700000;0.9307;136;19,200;0.0000;0.98380795008482200000
typography;3 - NAWL;0;36.63810769847490000000;0.46111661373006700000;0.9811;130;19,486;0.0000;0.98394301650298600000
laminar;3 - NAWL;0;36.63686364276450000000;0.46098454375790300000;0.7692;160;18,207;0.0000;0.98328050907016400000
hedonistic;3 - NAWL;0;36.63626612183630000000;0.46092112389508000000;0.9307;136;19,200;0.0000;0.98380844713625800000
imperceptible;3 - NAWL;0;36.63478685247290000000;0.46076415427673100000;0.9138;138;19,109;0.0000;0.98376032086192200000
offensively;3 - NAWL;0;36.63458678576100000000;0.46074292871438100000;0.9229;137;19,150;0.0000;0.98378196452812800000
filigree;3 - NAWL;0;36.63381842067200000000;0.46066142008807600000;0.9624;132;19,390;0.0000;0.98389741934330900000
ruff;3 - NAWL;0;36.63364637581760000000;0.46064317144333200000;0.8662;145;18,800;0.0000;0.98360469259538200000
directorial;3 - NAWL;0;36.63141531834460000000;0.46040659062143200000;0.8913;141;18,962;0.0000;0.98369041203935800000
autumnal;3 - NAWL;0;36.63045926428190000000;0.46030524806159500000;0.9450;134;19,311;0.0000;0.98385938759887200000
slaveholder;3 - NAWL;0;36.63035032165060000000;0.46029370146405900000;0.2897;335;13,766;0.0000;0.97945654983573300000
folksy;3 - NAWL;0;36.63024959883800000000;0.46028302632528300000;0.9064;139;19,054;0.0000;0.98373749669855300000
bricklayer;3 - NAWL;0;36.63012717131940000000;0.46027005113981900000;0.9218;137;19,150;0.0000;0.98378246523435400000
mestizo;3 - NAWL;0;36.62957791244050000000;0.46021184376278800000;0.9054;139;19,054;0.0000;0.98373800471435900000
rapturous;3 - NAWL;0;36.62943876488150000000;0.46019709885317600000;0.9210;137;19,150;0.0000;0.98378296594058100000
flange;3 - NAWL;0;36.62870843155160000000;0.46011971610132800000;0.9286;136;19,200;0.0000;0.98380894418769400000
commode;3 - NAWL;0;36.62764326336100000000;0.46000687911899900000;0.9284;136;19,200;0.0000;0.98380944123913000000
hexagon;3 - NAWL;0;36.62747776974800000000;0.45998935028702800000;0.9611;132;19,390;0.0000;0.98389790177558500000
disheveled;3 - NAWL;0;36.62742491830080000000;0.45998375248278900000;0.7819;157;18,306;0.0000;0.98333832053792800000
mastodon;3 - NAWL;0;36.62697583592370000000;0.45993619030419200000;0.8157;152;18,503;0.0000;0.98344672160847100000
redneck;3 - NAWL;0;36.62672724648500000000;0.45990986438664500000;0.8476;147;18,712;0.0000;0.98356199368415200000
phalanx;3 - NAWL;0;36.62662971273310000000;0.45989953585778800000;0.9526;133;19,356;0.0000;0.98387945605060100000
gelatin;3 - NAWL;0;36.62645132847310000000;0.45988064610510200000;0.7493;163;18,105;0.0000;0.98322394023099000000
hermeneutics;3 - NAWL;0;36.62618441021170000000;0.45985238261671900000;0.8274;150;18,587;0.0000;0.98349743547410700000
collier;3 - NAWL;0;36.62575931464500000000;0.45980737360771400000;0.9524;133;19,356;0.0000;0.98387994213766700000
nadir;3 - NAWL;0;36.62517034932270000000;0.45974502139113200000;0.9439;134;19,311;0.0000;0.98385987734072800000
indigent;3 - NAWL;0;36.62349216991350000000;0.45956740329709500000;0.9688;131;19,432;0.0000;0.98391622323770800000
haddock;3 - NAWL;0;36.62307243664640000000;0.45952298956066900000;0.9123;138;19,109;0.0000;0.98376082522293700000
courteously;3 - NAWL;0;36.62241540468150000000;0.45945347487234600000;0.7946;155;18,396;0.0000;0.98339014545971900000
gavel;3 - NAWL;0;36.62183642221370000000;0.45939222662108200000;0.8848;142;18,926;0.0000;0.98367128286865100000
arrhythmia;3 - NAWL;0;36.62083484619960000000;0.45928629315838400000;0.6049;194;17,046;0.0000;0.98252849583091400000
mew;3 - NAWL;0;36.62063266134170000000;0.45926491168192700000;0.8122;152;18,503;0.0000;0.98344727713654700000
tonality;3 - NAWL;0;36.62011437614620000000;0.45921010647214300000;0.7946;155;18,396;0.0000;0.98339071195216500000
centigrade;3 - NAWL;0;36.61964041110370000000;0.45915999354863100000;0.9278;136;19,200;0.0000;0.98380993829056600000
coriander;3 - NAWL;0;36.61879130414260000000;0.45907023006961500000;0.8123;152;18,503;0.0000;0.98344783266462200000
sociolinguistics;3 - NAWL;0;36.61852783051110000000;0.45904238047980500000;0.3339;301;14,361;0.0000;0.98014351877785300000
consecration;3 - NAWL;0;36.61802192596340000000;0.45898891028576400000;0.7702;159;18,242;0.0000;0.98330145467148800000
subspecies;3 - NAWL;0;36.61762457215790000000;0.45894691743191500000;0.8591;145;18,800;0.0000;0.98360522253992700000
molester;3 - NAWL;0;36.61751187697680000000;0.45893500836166800000;0.9432;134;19,311;0.0000;0.98386036708258400000
furlough;3 - NAWL;0;36.61736291157610000000;0.45891926690792900000;0.8965;140;19,005;0.0000;0.98371300960574800000
yore;3 - NAWL;0;36.61392144083560000000;0.45855575051595200000;0.8302;149;18,638;0.0000;0.98352255484557700000
capacitance;3 - NAWL;0;36.61269370031830000000;0.45842613618105600000;0.9572;132;19,390;0.0000;0.98389838420786100000
ribosome;3 - NAWL;0;36.61235872269680000000;0.45839077847308900000;0.4242;254;15,360;0.0000;0.98115702127512300000
emphysema;3 - NAWL;0;36.61202933450320000000;0.45835601340212500000;0.9745;130;19,486;0.0000;0.98394349162568200000
motility;3 - NAWL;0;36.61025619211100000000;0.45816891349106100000;0.0000;950;8,420;0.0000;0.96819021752045600000
portly;3 - NAWL;0;36.60944310762100000000;0.45808314330917200000;0.8710;143;18,878;0.0000;0.98365201481592500000
larceny;3 - NAWL;0;36.60940415543520000000;0.45807903474679200000;0.8239;151;18,543;0.0000;0.98346830314324900000
dumbfound;3 - NAWL;0;36.60841649712480000000;0.45797487175516100000;0.8169;151;18,543;0.0000;0.98346885501653500000
farcical;3 - NAWL;0;36.60690920666230000000;0.45781595161947300000;0.9730;130;19,486;0.0000;0.98394396674837800000
reallocate;3 - NAWL;0;36.60629384075170000000;0.45775108679078700000;0.8947;140;19,005;0.0000;0.98371352127634400000
classless;3 - NAWL;0;36.60502424721490000000;0.45761728981490500000;0.9401;134;19,311;0.0000;0.98386085682444000000
sturgeon;3 - NAWL;0;36.60380566433750000000;0.45748890541449300000;0.9895;128;19,577;0.0000;0.98398419136679800000
revaluation;3 - NAWL;0;36.60341730598780000000;0.45744799729797400000;0.8403;148;18,678;0.0000;0.98354153416989500000
hardboard;3 - NAWL;0;36.60337379457680000000;0.45744341420771600000;0.9547;132;19,390;0.0000;0.98389886664013700000
comically;3 - NAWL;0;36.60231175109190000000;0.45733156259090800000;0.8834;141;18,962;0.0000;0.98369092736474400000
offload;3 - NAWL;0;36.60098077389450000000;0.45719142619892700000;0.9468;133;19,356;0.0000;0.98388042822473400000
carnivorous;3 - NAWL;0;36.60091854717180000000;0.45718487550084700000;0.8286;149;18,638;0.0000;0.98352309940928200000
unsuspected;3 - NAWL;0;36.60084349163490000000;0.45717697441961600000;0.8980;139;19,054;0.0000;0.98373851273016500000
enslavement;3 - NAWL;0;36.60074782979200000000;0.45716690431463800000;0.9627;131;19,432;0.0000;0.98391670201519400000
midriff;3 - NAWL;0;36.59983433302690000000;0.45707075375609800000;0.8682;143;18,878;0.0000;0.98365253745089000000
churlish;3 - NAWL;0;36.59954717978800000000;0.45704053347612400000;0.9625;131;19,432;0.0000;0.98391718079268000000
hardcover;3 - NAWL;0;36.59791213530820000000;0.45686849791483200000;0.6189;189;17,205;0.0000;0.98263906053711900000
shrunken;3 - NAWL;0;36.59684540436310000000;0.45675629388354500000;0.9046;138;19,109;0.0000;0.98376132958395300000
midshipman;3 - NAWL;0;36.59675837022760000000;0.45674714041913300000;0.9304;135;19,255;0.0000;0.98383523674674400000
cyclin;3 - NAWL;0;36.59651992925530000000;0.45672206429056300000;0.0000;947;8,435;0.0000;0.96824218863384400000
eggshell;3 - NAWL;0;36.59651320086680000000;0.45672135670591200000;0.9206;136;19,200;0.0000;0.98381043534200200000
mismanage;3 - NAWL;0;36.59585133259630000000;0.45665175730880200000;0.9541;132;19,390;0.0000;0.98389934907241300000
jumpy;3 - NAWL;0;36.59578992603460000000;0.45664530058019500000;0.7944;154;18,436;0.0000;0.98340762997494200000
telemarketing;3 - NAWL;0;36.59527724033280000000;0.45659139667213300000;0.9456;133;19,356;0.0000;0.98388091431180000000
tritium;3 - NAWL;0;36.59475686841650000000;0.45653669114027500000;0.9610;131;19,432;0.0000;0.98391765957016700000
classifier;3 - NAWL;0;36.59353222011620000000;0.45640797247474300000;0.2845;333;13,803;0.0000;0.97949556471867400000
stonewall;3 - NAWL;0;36.59322841662840000000;0.45637604633016700000;0.8767;142;18,926;0.0000;0.98367180184882600000
straggler;3 - NAWL;0;36.58999373504610000000;0.45603625809163400000;0.9111;137;19,150;0.0000;0.98378346664680700000
fracas;3 - NAWL;0;36.58984100861120000000;0.45602022114663200000;0.9114;137;19,150;0.0000;0.98378396735303200000
obelisk;3 - NAWL;0;36.58872089009250000000;0.45590262102735100000;0.7467;162;18,149;0.0000;0.98324410736205100000
askew;3 - NAWL;0;36.58671202980760000000;0.45569178876382500000;0.8233;149;18,638;0.0000;0.98352364397298800000
adoptee;3 - NAWL;0;36.58331923105510000000;0.45533593188724600000;0.9931;127;19,636;0.0000;0.98401178868586600000
fuzz;3 - NAWL;0;36.58235650195540000000;0.45523500576776200000;0.8300;148;18,678;0.0000;0.98354207507881000000
werewolf;3 - NAWL;0;36.58229938061820000000;0.45522901824953400000;0.7178;167;17,969;0.0000;0.98313307484272600000
daylong;3 - NAWL;0;36.58213127355810000000;0.45521139754882400000;0.9586;131;19,432;0.0000;0.98391813834765300000
sacrosanct;3 - NAWL;0;36.58193184821690000000;0.45519049500279400000;0.9255;135;19,255;0.0000;0.98383573014339000000
blimp;3 - NAWL;0;36.58174703721320000000;0.45517112509922600000;0.9251;135;19,255;0.0000;0.98383622354003600000
detonator;3 - NAWL;0;36.57806114899750000000;0.45478498200618400000;0.9408;133;19,356;0.0000;0.98388140039886600000
homeopathic;3 - NAWL;0;36.57781646802530000000;0.45475936019849600000;0.5318;213;16,479;0.0000;0.98210830462793900000
cantilever;3 - NAWL;0;36.57773171388980000000;0.45475048549206200000;0.7916;154;18,436;0.0000;0.98340819281259800000
drawbridge;3 - NAWL;0;36.57769011477340000000;0.45474612966241400000;0.9233;135;19,255;0.0000;0.98383671693668200000
chrysanthemum;3 - NAWL;0;36.57712774437140000000;0.45468724813906800000;0.9395;133;19,356;0.0000;0.98388188648593200000
miff;3 - NAWL;0;36.57712143516650000000;0.45468658759350100000;0.8567;144;18,836;0.0000;0.98362633626158900000
militate;3 - NAWL;0;36.57646104301160000000;0.45461745279228100000;0.8578;144;18,836;0.0000;0.98362686255134400000
glam;3 - NAWL;0;36.57643932430460000000;0.45461517929378200000;0.7721;157;18,306;0.0000;0.98333889433995300000
relatedness;3 - NAWL;0;36.57637480172050000000;0.45460842518350400000;0.3797;273;14,916;0.0000;0.98072353394624400000
ironwork;3 - NAWL;0;36.57574523616000000000;0.45454252863718400000;0.7563;160;18,207;0.0000;0.98328109383655900000
icky;3 - NAWL;0;36.57557325062230000000;0.45452452859423000000;0.9233;135;19,255;0.0000;0.98383721033332800000
pollination;3 - NAWL;0;36.57451269369880000000;0.45441354623044900000;0.8157;150;18,587;0.0000;0.98349798369260200000
rickshaw;3 - NAWL;0;36.57345153651750000000;0.45430252817432500000;0.9319;134;19,311;0.0000;0.98386134656629600000
antibacterial;3 - NAWL;0;36.57192062479410000000;0.45414241227912500000;0.8918;139;19,054;0.0000;0.98373902074597100000
retch;3 - NAWL;0;36.57167639111440000000;0.45411687344354300000;0.5778;198;16,919;0.0000;0.98244052869110000000
streptomycin;3 - NAWL;0;36.57094216163150000000;0.45404010575992800000;0.3942;265;15,101;0.0000;0.98090905473996100000
gypsum;3 - NAWL;0;36.56813526161610000000;0.45374674872301900000;0.8620;143;18,878;0.0000;0.98365306008585600000
impetuous;3 - NAWL;0;36.56770170505830000000;0.45370145340670700000;0.7519;160;18,207;0.0000;0.98328167860295500000
desecration;3 - NAWL;0;36.56573132841940000000;0.45349565756562000000;0.9710;129;19,535;0.0000;0.98396486483743000000
reenter;3 - NAWL;0;36.56548867976550000000;0.45347032060154500000;0.9798;128;19,577;0.0000;0.98398465917991400000
bucolic;3 - NAWL;0;36.56511510549390000000;0.45343131537215100000;0.8754;141;18,962;0.0000;0.98369144269013000000
blinker;3 - NAWL;0;36.56499124055770000000;0.45341838326217000000;0.9622;130;19,486;0.0000;0.98394444187107400000
insincere;3 - NAWL;0;36.56423319827860000000;0.45333924794635900000;0.8898;139;19,054;0.0000;0.98373952876177700000
fascia;3 - NAWL;0;36.56399023602420000000;0.45331388698752500000;0.9453;132;19,390;0.0000;0.98389983150468900000
convivial;3 - NAWL;0;36.56191858538290000000;0.45309770094440800000;0.8751;141;18,962;0.0000;0.98369195801551600000
infatuate;3 - NAWL;0;36.56134600812180000000;0.45303796812480600000;0.8321;147;18,712;0.0000;0.98356253093827800000
chewy;3 - NAWL;0;36.56091734959630000000;0.45299325445427000000;0.7249;167;17,969;0.0000;0.98313368519265200000
suspenders;3 - NAWL;0;36.56048145870640000000;0.45294779089617900000;0.8524;144;18,836;0.0000;0.98362738884110100000
salivate;3 - NAWL;0;36.56037780902670000000;0.45293698087322100000;0.9127;136;19,200;0.0000;0.98381093239343800000
improvisational;3 - NAWL;0;36.56027185293860000000;0.45292593057273100000;0.9784;128;19,577;0.0000;0.98398512699303000000
internist;3 - NAWL;0;36.56015233296660000000;0.45291346600044200000;0.9699;129;19,535;0.0000;0.98396533630533700000
gerbil;3 - NAWL;0;36.56003474794910000000;0.45290120355661800000;0.9523;131;19,432;0.0000;0.98391861712513900000
acidification;3 - NAWL;0;36.55852173791720000000;0.45274344776118200000;0.8602;143;18,878;0.0000;0.98365358272082200000
convocation;3 - NAWL;0;36.55848031276480000000;0.45273912929119300000;0.7874;155;18,396;0.0000;0.98339127844461100000
undemanding;3 - NAWL;0;36.55668234071970000000;0.45255173482603800000;0.8877;139;19,054;0.0000;0.98374003677758200000
abhorrent;3 - NAWL;0;36.55631158104450000000;0.45251310187550300000;0.9862;127;19,636;0.0000;0.98401225284419200000
homesickness;3 - NAWL;0;36.55553270745310000000;0.45243195442446700000;0.9509;131;19,432;0.0000;0.98391909590262500000
ostentatiously;3 - NAWL;0;36.55520801214100000000;0.45239813013026600000;0.8573;143;18,878;0.0000;0.98365410535578800000
desiccate;3 - NAWL;0;36.55410446235830000000;0.45228318958761400000;0.8868;139;19,054;0.0000;0.98374054479338900000
airshow;3 - NAWL;0;36.55293181851990000000;0.45216108453642800000;0.9422;132;19,390;0.0000;0.98390031393696600000
ethnology;3 - NAWL;0;36.55199590577130000000;0.45206365347388100000;0.7452;161;18,179;0.0000;0.98326001666279500000
traipse;3 - NAWL;0;36.55189467564640000000;0.45205311640084100000;0.9338;133;19,356;0.0000;0.98388237257299800000
midpoint;3 - NAWL;0;36.55114000757760000000;0.45197457052295100000;0.7985;152;18,503;0.0000;0.98344838819269800000
unfilled;3 - NAWL;0;36.55075492497880000000;0.45193449637201600000;0.9672;129;19,535;0.0000;0.98396580777324300000
neuronal;3 - NAWL;0;36.55041604810030000000;0.45189923362223600000;0.0000;937;8,479;0.0000;0.96838666248140000000
warlike;3 - NAWL;0;36.55008857358660000000;0.45186515999045900000;0.9328;133;19,356;0.0000;0.98388285866006400000
photojournalist;3 - NAWL;0;36.54890764647520000000;0.45174230619047600000;0.9588;130;19,486;0.0000;0.98394491699377100000
injector;3 - NAWL;0;36.54881355546370000000;0.45173251918376700000;0.8500;144;18,836;0.0000;0.98362791513085600000
bawdy;3 - NAWL;0;36.54841296010400000000;0.45169085307636300000;0.9493;131;19,432;0.0000;0.98391957468011200000
manatee;3 - NAWL;0;36.54736134404800000000;0.45158149229281100000;0.9168;135;19,255;0.0000;0.98383770372997400000
assembler;3 - NAWL;0;36.54675411503580000000;0.45151835674179400000;0.9836;127;19,636;0.0000;0.98401271700251900000
gravitas;3 - NAWL;0;36.54624995539780000000;0.45146594435149000000;0.9579;130;19,486;0.0000;0.98394539211646700000
incoherence;3 - NAWL;0;36.54519312078350000000;0.45135609566385000000;0.9741;128;19,577;0.0000;0.98398559480614600000
unlit;3 - NAWL;0;36.54488886705140000000;0.45132447611258200000;0.7422;161;18,179;0.0000;0.98326060508398100000
handyman;3 - NAWL;0;36.54412025207400000000;0.45124460771186700000;0.9569;130;19,486;0.0000;0.98394586723916300000
optimistically;3 - NAWL;0;36.54359108961170000000;0.45118962954124700000;0.9084;136;19,200;0.0000;0.98381142944487400000
inflorescence;3 - NAWL;0;36.54330497503460000000;0.45115990600497900000;0.9480;131;19,432;0.0000;0.98392005345759700000
redhead;3 - NAWL;0;36.54079060239220000000;0.45089878000487700000;0.6605;177;17,609;0.0000;0.98291375455134800000
leed;3 - NAWL;0;36.53905704364710000000;0.45071883216525000000;0.8026;152;18,503;0.0000;0.98344894372077300000
impedance;3 - NAWL;0;36.53833896106980000000;0.45064431439023800000;0.7200;165;18,032;0.0000;0.98317848926290800000
signifier;3 - NAWL;0;36.53790420255810000000;0.45059920406684800000;0.8276;147;18,712;0.0000;0.98356306819240400000
henry;3 - NAWL;0;36.53767861166770000000;0.45057579864959500000;0.6270;188;17,230;0.0000;0.98265487481332500000
intermission;3 - NAWL;0;36.53713270822290000000;0.45051916532073400000;0.9468;131;19,432;0.0000;0.98392053223508400000
hypertensive;3 - NAWL;0;36.53607217556940000000;0.45040916347334800000;0.6937;170;17,877;0.0000;0.98308451730317000000
chiropractor;3 - NAWL;0;36.53589125154210000000;0.45039040013515000000;0.9810;127;19,636;0.0000;0.98401318116084500000
perusal;3 - NAWL;0;36.53469922418980000000;0.45026679644556300000;0.9207;134;19,311;0.0000;0.98386183630815300000
thieve;3 - NAWL;0;36.53433776295780000000;0.45022932251371600000;0.8329;146;18,759;0.0000;0.98358341440817100000
credulity;3 - NAWL;0;36.53407067323290000000;0.45020163440500900000;0.9983;125;19,744;0.0000;0.98406263046915100000
burgher;3 - NAWL;0;36.53399422170860000000;0.45019370929895700000;0.9453;131;19,432;0.0000;0.98392101101257000000
surfboard;3 - NAWL;0;36.53356328749150000000;0.45014904047240400000;0.9457;131;19,432;0.0000;0.98392148979005600000
tripe;3 - NAWL;0;36.53320702916300000000;0.45011211558067300000;0.8970;137;19,150;0.0000;0.98378446805925800000
attender;3 - NAWL;0;36.53266884424690000000;0.45005634039764500000;0.9456;131;19,432;0.0000;0.98392196856754200000
counterclaim;3 - NAWL;0;36.53084272550230000000;0.44986714076676400000;0.8242;148;18,678;0.0000;0.98354261598772600000
colic;3 - NAWL;0;36.52971419919690000000;0.44975025672442600000;0.8321;146;18,759;0.0000;0.98358394800750700000
knotty;3 - NAWL;0;36.52921097589250000000;0.44969814653008000000;0.9529;130;19,486;0.0000;0.98394634236185900000
quiche;3 - NAWL;0;36.52885486693560000000;0.44966127409003000000;0.9701;128;19,577;0.0000;0.98398606261926300000
despotism;3 - NAWL;0;36.52850234739890000000;0.44962477628555800000;0.8737;140;19,005;0.0000;0.98371403294694000000
stolid;3 - NAWL;0;36.52782309004610000000;0.44955445831805100000;0.7974;151;18,543;0.0000;0.98346940688982100000
dullness;3 - NAWL;0;36.52757583962370000000;0.44952886523078700000;0.8802;139;19,054;0.0000;0.98374105280919400000
unbreakable;3 - NAWL;0;36.52738909165970000000;0.44950953576680600000;0.9117;135;19,255;0.0000;0.98383819712662000000
rancor;3 - NAWL;0;36.52716818736030000000;0.44948667200319700000;0.9191;134;19,311;0.0000;0.98386232605000800000
outermost;3 - NAWL;0;36.52668633650890000000;0.44943680410711300000;0.8730;140;19,005;0.0000;0.98371454461753600000
samba;3 - NAWL;0;36.52615928946630000000;0.44938226508446400000;0.8902;138;19,109;0.0000;0.98376183394496900000
misperception;3 - NAWL;0;36.52525686081210000000;0.44928889680118700000;0.9529;130;19,486;0.0000;0.98394681748455500000
marquis;3 - NAWL;0;36.52521707139840000000;0.44928478050207900000;0.8811;139;19,054;0.0000;0.98374156082500000000
finery;3 - NAWL;0;36.52501370010040000000;0.44926374189959300000;0.7608;157;18,306;0.0000;0.98333946814197900000
clef;3 - NAWL;0;36.52472802662570000000;0.44923419086486600000;0.8664;141;18,962;0.0000;0.98369247334090200000
photogenic;3 - NAWL;0;36.52229702301040000000;0.44898279822902100000;0.8729;140;19,005;0.0000;0.98371505628813200000
broiler;3 - NAWL;0;36.52067653608500000000;0.44881530012303700000;0.9339;132;19,390;0.0000;0.98390079636924200000
confectionery;3 - NAWL;0;36.52008436109800000000;0.44875410683447000000;0.9513;130;19,486;0.0000;0.98394729260725100000
incontrovertible;3 - NAWL;0;36.51922098981510000000;0.44866490402019600000;0.9676;128;19,577;0.0000;0.98398653043237900000
apprise;3 - NAWL;0;36.51918409530340000000;0.44866109250452900000;0.9595;129;19,535;0.0000;0.98396627924114900000
carotid;3 - NAWL;0;36.51859367063460000000;0.44860010103857100000;0.6856;171;17,837;0.0000;0.98306026046213100000
phosphor;3 - NAWL;0;36.51773390556190000000;0.44851130126334400000;0.9497;130;19,486;0.0000;0.98394776772994800000
improbably;3 - NAWL;0;36.51757942353610000000;0.44849534764084700000;0.9088;135;19,255;0.0000;0.98383869052326600000
carcinogenic;3 - NAWL;0;36.51711460934000000000;0.44844734890779900000;0.9016;136;19,200;0.0000;0.98381192649631000000
warder;3 - NAWL;0;36.51687968978800000000;0.44842309204858300000;0.9671;128;19,577;0.0000;0.98398699824549500000
brazier;3 - NAWL;0;36.51614173677570000000;0.44834690248772000000;0.7586;157;18,306;0.0000;0.98334004194400400000
streetwise;3 - NAWL;0;36.51601184083040000000;0.44833349279079600000;0.8579;142;18,926;0.0000;0.98367232082900200000
numerator;3 - NAWL;0;36.51491414337630000000;0.44822018894632400000;0.7856;153;18,467;0.0000;0.98343171138606200000
tine;3 - NAWL;0;36.51483957845720000000;0.44821249342713000000;0.9663;128;19,577;0.0000;0.98398746605861100000
matrimony;3 - NAWL;0;36.51461032168380000000;0.44818883366578400000;0.8137;148;18,678;0.0000;0.98354315689664200000
unobtrusively;3 - NAWL;0;36.51413108883610000000;0.44813937990345000000;0.8774;139;19,054;0.0000;0.98374206884080600000
trenchant;3 - NAWL;0;36.51391225943880000000;0.44811679992514400000;0.9321;132;19,390;0.0000;0.98390127880151800000
freewheel;3 - NAWL;0;36.51383513370390000000;0.44810884195374900000;0.9004;136;19,200;0.0000;0.98381242354774600000
ruck;3 - NAWL;0;36.51166331634290000000;0.44788480796244000000;0.9087;135;19,255;0.0000;0.98383918391991200000
editorship;3 - NAWL;0;36.50956233743800000000;0.44766818790459000000;0.9230;133;19,356;0.0000;0.98388334474713000000
bling;3 - NAWL;0;36.50922014028590000000;0.44763291581381400000;0.9313;132;19,390;0.0000;0.98390176123379400000
optimally;3 - NAWL;0;36.50750231045070000000;0.44745589189306400000;0.6832;171;17,837;0.0000;0.98306088543121600000
superman;3 - NAWL;0;36.50722422595760000000;0.44742724161855400000;0.9155;134;19,311;0.0000;0.98386281579186500000
